obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
272,"
								露品庄园干红葡萄酒-双支装",  ,"
												100%
										",0,近期售出数 21,99,"
																红葡萄酒 干红","
																80%美乐(Merlot), 20%赤霞珠(Cabernet Sauvignon)","
																2011","
																法国(France) 波尔多(Bordeaux)","
																波尔多法定产区A.O.C","
																12.5%","
																750ml","
																红色水果、橡木香","
																宝石红色","
																中高","
																圆润","
																15分钟","
																红肉，家禽及奶酪",  ,6224297
273,"
								三只猴子白葡萄酒（猴年款酒）",THR3 MONKEYS WHITE WINE,"
												100%
										",15,近期售出数 155,198,"
											白葡萄酒 甜白","
											60%米勒图高(Muller Thurgau),40%西万尼(Silvaner)","
											0000","
											德国(Germany) 其他","
											德国优质酒庄","
											8.5%","
											750ml","
											新鲜的果香和花香的芬芳","
											浅黄色","
											轻","
											清爽","
											即开即饮","
											海鲜，鱼肉， 沙拉， 素食","
											无",6210670
274,"
								*弗尔拉德宫珍藏雷司令白葡萄酒*",SCHLOSS VOLLRADS RIESLING Kabinett feinherb,"
												100%
										",5,近期售出数 238,499,"
											白葡萄酒 半甜白","
											100%雷司令(Riesling)",  ,"
											德国(Germany) 莱茵高(Rheingau)","
											Kabinett","
											0.11","
											750ml","
											苹果、柠檬和花儿的香气","
											清澈","
											中低","
											清爽","
											Falstaff Wine Guide 2016, 86分                          Gault Millau, 86分","
											搭配海鲜为最佳，如龙虾、斑节虾、扇贝等","
											无",6230615
275,"
								美圣世家仙马园波尔多干红葡萄酒",F de Maison AOC BORDEAUX Red Wine,"
												90%
										",10,近期售出数 273,155,"
											红葡萄酒 干红","
											75%美乐(Merlot),25%赤霞珠(Cabernet Sauvignon)","
											2012","
											法国(France) 波尔多(Bordeaux)","
											波尔多法定产区A.O.C","
											12.00%","
											750ml","
											樱桃、李子","
											深紫色","
											中高",  ,"
											15-20分钟","
											奶酪、肉类","
											12个月",6203911
276,"
								威迪酒园珍藏梅乐红葡萄酒",Wente Crane Ridge Merlot,"
												100%
										",3,近期售出数 28,754,"
											红葡萄酒 干红","
											83%梅乐Merlot、6%巴比拉Barbera，6%小华帝Petit Verdot，5%圣祖维斯Sangiovese","
											2009","
											美国(USA) 加州(California)","
											美国优质酒庄","
											14%","
											750ml","
											山莓、草莓，香草橡木和焦糖的味道明显，余味悠长，还充满水果气息。","
											深宝石红","
											中","
											平衡","
											1小时","
											红肉或浓味型中餐菜肴配食","
											20个月",5196638
277,"
								教堂山莫塞晚收甜白葡萄酒*6支装",  ,"
												100%
										",0,近期售出数 20,799,"
																白葡萄酒 甜白","
																100%雷司令(Riesling)","
																0000","
																德国(Germany) 莫塞(Mosel)","
																莫塞法定产区 Pradikatswein - Spatlese","
																8.5%","
																750ml","
																蜜桃、泥土、柑橘","
																淡黄色","
																中","
																平衡","
																WS评分：92； 由12世纪建立的古老酿酒厂生产","
																鱼、猪肉、辛辣食物","
																无",6231070
278,"
								缇欧佩佩雪莉酒（利口葡萄酒）",Tio Pepe Fino,"
												90%
										",7,近期售出数 198,189,"
											加强葡萄酒 干型雪莉酒","
											100%帕罗米诺(Palomino)",  ,"
											西班牙(Spain) 赫雷斯-雪莉(Jerez-Xeres-Sherry)","
											DO","
											15.00%","
											750ml","
											青苹果,杏桃，新鲜杏仁,酵母","
											浅稻草黄","
											重","
											清雅","
											International Wine Challenge, 2014: Silver","
											生蚝,海鲜，贝类，虾蟹类,蔬果沙拉，坚果，腌渍橄榄,西班牙火腿奶酪等等","
											5年",6205769
279,"
								马克思莫利托酒庄修道山居雷司令干白葡萄酒750ML",  ,"
												100%
										",0,近期售出数 54,199,"
											白葡萄酒 干白","
											100%雷司令",  ,"
											德国(Germany) 莫塞(Mosel)",  ,"
											0.115","
											750","
											清新自然的成熟水果和新鲜草本香",  ,  ,"
											圆润",  ,"
											烤鲑鱼佐荷兰芹和土豆沙拉；芦笋沃尔多夫沙拉拌油醋汁。",  ,6232337
280,"
								美人鱼美乐桃红葡萄酒",Stormhoek Merlot Rose,"
												80%
										",5,近期售出数 101,79,"
											桃红葡萄酒 干型桃红","
											美乐(Merlot)","
											2013","
											南非(South Africa) 西开普产地(Western Cape)","
											南非优质酒庄","
											12.5%","
											750ml","
											荔枝、草莓","
											深紫色","
											中高","
											平衡","
											20分钟","
											海鲜类，红肉类，鸡肉类食物",  ,5189058
281,"
								卡门萨克庄园干红葡萄酒2010（名庄）",Chateau Camensac 2010,"
												100%
										",3,近期售出数 359,358,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon),美乐(Merlot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											波尔多左岸五级","
											13.5%","
											750ml","
											红果味","
											深紫色","
											中","
											圆润","
											40分钟","
											烤乳鸽、椒盐虾蟹类、香肠","
											18-20个月",6214865
282,"
								赵薇帕塔拉贝干红葡萄酒双支礼盒装",  ,"
												90%
										",4,近期售出数 63,499,"
																红葡萄酒 干红","
																80%梅洛，10%赤霞珠，10%品丽珠","
																综合","
																法国(France) 波尔多(Bordeaux)",  ,"
																14.5%","
																750 ml","
																黑醋栗，黑莓","
																酒红色","
																中高","
																饱满","
																2013 法国葡萄酒亚洲区挑战赛银奖","
																羊肉，牛肉，野味",  ,6221662
283,"
								施密特私人收藏优质雷司令白葡萄酒",Thomas Schmitt Private Collection Riesling QbA,"
												90%
										",16,近期售出数 434,158,"
											白葡萄酒 半甜白","
											100%雷司令(Riesling)","
											0000","
											德国(Germany) 莫塞(Mosel)","
											QBA","
											10.5%","
											750ml","
											富含多种果香","
											无色","
											中","
											圆润","
											20-30分钟","
											海鲜，色拉等","
											无",5154685
284,"
								干露侯爵梅洛红葡萄酒",Marques de Casa Concha Merlot,"
												90%
										",25,近期售出数 328,380,"
											红葡萄酒 干红","
											100%梅洛(merlot)","
											0000","
											智利(Chile) 中央山谷(Central Valley)",  ,"
											14.5%","
											750ml","
											黑樱桃、黑浆果及持续的烟味与丰富的黑焦油味","
											深及暗红色","
											重","
											圆润","
											WS 89","
											红肉类食物","
											18个月",5150851
285,"
								奔富128西拉子红葡萄酒（木塞）双支 750ml*2",  ,"
												100%
										",0,近期售出数 155,549,"
																红葡萄酒 干红","
																西拉/设拉子(Syrah/Shiraz)",  ,"
																澳大利亚(Australia) 南澳(South Australia)","
																澳大利亚优质酒庄",  ,"
																750ml","
																黑梅、樱桃","
																深紫色","
																中高","
																饱满","
																30分钟","
																奶酪、肉类、牛扒",  ,6230838
286,"
								小歌缤干红葡萄酒",Petit Corbin Despagne,"
												80%
										",17,近期售出数 356,248,"
											红葡萄酒 干红","
											75%梅乐(Merlot) 25%嘉本纳沙威浓(Cabernet Sauvignon)","
											0000","
											法国(France) 波尔多(Bordeaux)","
											圣达美隆法定产区（Saint-Emilion）Grand Cru","
											13%","
											750ml","
											丰富的果香和柔顺的丹宁","
											深紫色","
											中","
											圆润","
											10-15分钟","
											海鲜及肉类，意大利面，不太浓中菜",  ,8783
287,"
								华夏长城经典红标解百纳干红",  ,"
												100%
										",0,近期售出数 445,58,"
											红葡萄酒 干红",  ,  ,"
											中国(China) 河北(He Bei)",  ,  ,"
											750ML",  ,  ,  ,  ,  ,  ,  ,6232565
288,"
								火地岛珍藏赤霞珠干红葡萄酒-2支装",  ,"
												90%
										",6,近期售出数 264,456,"
																红葡萄酒 干红","
																100%赤霞珠(Cabernet Sauvignon)","
																0000","
																智利(Chile) 中央山谷(Central Valley)","
																智利优质酒庄","
																13.0%","
																750ml","
																李子、樱桃、橡木、烟熏","
																红宝石色","
																中高","
																辛辣","
																30分钟","
																奶酪、红肉类","
																6个月",6203223
289,"
								【名庄】帝龙经典香槟酒",Champagne Thienot Classic Brut,"
												100%
										",0,近期售出数 78,358,"
											起泡酒 干香槟","
											25%莎当妮(Chardonnay)、35%黑皮诺(Pinot Noir)、20%莫妮皮诺(Pinot Meunier)、20%珍藏老酒(Reserve wines)",  ,"
											法国(France) 香槟(Champagne)","
											香槟法定产区","
											12.50%","
											750ml","
											蜂蜜，水果","
											金黄色","
											轻","
											清爽","
											连续两届奥斯卡颁奖典礼指定用酒","
											海鲜、水果","
											无",6203724
290,"
								*柯诺苏18区赤霞珠红葡萄酒（单一葡园系列）750ML*",CONOSUR SINGLE VINEYARE CABERNET SAUVIGNON,"
												100%
										",0,近期售出数 242,599,"
											红葡萄酒 干红","
											赤霞珠",  ,"
											智利(Chile) 中央山谷(Central Valley)",  ,"
											13.6%","
											750","
											红色果香、黑醋栗","
											紫红色","
											中高","
											饱满","
											30分钟","
											红肉、干奶酪","
											14个月",6230574
291,"
								澳洲奔富BIN8赤霞珠西拉子红葡萄酒 奔富酒园 澳大利亚进口红酒 双支 750ML*2",  ,"
												100%
										",0,近期售出数 53,398,"
																红葡萄酒 干红","
																赤霞珠(Cabernet Sauvignon),西拉/设拉子(Syrah/Shiraz)",  ,"
																澳大利亚(Australia) 南澳(South Australia)",  ,  ,"
																750ml","
																黑梅、樱桃","
																深紫色","
																中高","
																饱满","
																30分钟","
																奶酪、肉类、牛扒","
																无",6218222
